key,en,es,zh,tl,vi,ar,fr,ko,ru,pt,ht,hi,de,pl,it,ur,fa,te,ja,gu,bn,ta,pa,th,sh,hy,el,hmn,he,km,nv,ilo,sm,haw,pdc,yi,nl,so,am,sw
bike_quiz,Bike Quiz,Cuestionario de Bicicleta,摩托车测验,Quiz ng Bisikleta,Kiểm tra Xe máy,اختبار الدراجة,Quiz Moto,오토바이 퀴즈,Викторина по мотоциклам,Questionário de Moto,Kesyon Bisiklèt,बाइक क्विज़,Fahrrad-Quiz,Quiz Motocyklowy,Quiz Moto,بائیک کوئز,آزمون دوچرخه,బైక్ క్విజ్,バイククイズ,બાઈક ક્વિઝ,বাইক কুইজ,பைக் வினாத்தாள்,ਬਾਈਕ ਕਵਿਜ਼,แบบทดสอบจักรยาน,Kviz za biciklo,Մոտոցիկլի հարցաշար,Κουίζ Μηχανής,Kev Quiz Tsheb,חידון אופנועים,Quiz Moto,A’oq Quiz,Ka‘oh Bike Quiz,Fahrrad-Quiz,בייק קװיז,Motorfietsquiz,Kowciga Baaskiilka,መኪና ሙከራ,Quiz ya Pikipiki
select_vehicle_type,Select Vehicle Type,Seleccionar tipo de vehículo,选择车辆类型,Piliin ang Uri ng Sasakyan,Chọn loại xe,اختر نوع المركبة,Sélectionner le type de véhicule,차량 유형 선택,Выберите тип транспортного средства,Selecionar tipo de veículo,Chwazi tip machin,वाहन प्रकार चुनें,Fahrzeugtyp auswählen,Wybierz typ pojazdu,Seleziona tipo di veicolo,گاڑی کی قسم منتخب کریں,نوع وسیله نقلیه را انتخاب کنید,వాహన రకం ఎంచుకోండి,車両タイプを選択,વાહન પ્રકાર પસંદ કરો,যানবাহনের ধরন নির্বাচন করুন,வாகன வகையைத் தேர்ந்தெடுக்கவும்,ਵਾਹਨ ਕਿਸਮ ਚੁਣੋ,เลือกประเภทรถ,Odaberite vrstu vozila,Ընտրեք տրանսպորտի տեսակը,Επιλέξτε τύπο οχήματος,Xaiv hom tsheb,בחר סוג רכב,ជ្រើសរើសប្រភេទយានយន្ត,Chʼį́į́ʼ íínííłį́,Pagpili ti kita ti lugan,Filifili Ituaiga Taavale,Kōkua i ka ʻano kaʻa,Pennsylvania Dutch Fahrzēug Typ wähl,וויילן פֿאָרמיטל טיפּ,Kies voertuigtype,Dooro nooca gaari,ተሽከርካሪ አይነት ምረጥ,Chagua aina ya gari
bike,Bike,Bicicleta,自行车,Bisikleta,Xe đạp,دراجة,Vélo,자전거,Велосипед,Bicicleta,Bisiklèt,साइकिल,Fahrrad,Rower,Bicicletta,سائیکل,دوچرخه,బైక్,自転車,સાયકલ,সাইকেল,மோட்டார் சைக்கிள்,ਸਾਈਕਲ,จักรยาน,Bicikl,Հեծանիվ,Ποδήλατο,Tsheb kauj vab,אופניים,កង់,Bike,Bisikleta,Taavale uila,Pākīkī,Radl,בײַסיקל,Kinderfiets,Farad,ብስክሌት,Baiskeli
car,Car,Coche,汽车,Kotse,Ô tô,سيارة,Voiture,자동차,Автомобиль,Carro,Machin,कार,Auto,Samochód,Auto,کار,خودرو,కారు,車,કાર,গাড়ি,கார்,ਕਾਰ,รถยนต์,Automobil,Ավտոմեքենա,Αυτοκίνητο,Tsheb,מכונית,ឡាន,Lugan,Taavale,Kaʻa,Auto,מאָטאָר,Auto,Gaariga,መኪና,Gari
cdl,CDL,Licencia comercial,商用驾照,CDL,Giấy phép lái xe thương mại,رخصة قيادة تجارية,Permis de conduire professionnel,상업 운전 면허,Коммерческие права,Carteira de motorista comercial,CDL,व्यावसायिक ड्राइविंग लाइसेंस,Gewerblicher Führerschein,Prawo jazdy zawodowe,Patente commerciale,کمرشل ڈرائیونگ لائسنس,گواهینامه رانندگی تجاری,వాణిజ్య డ్రైవింగ్ లైసెన్స్,商業運転免許,વાણિજ્યિક ડ્રાઇવિંગ લાઇસન્સ,বাণিজ্যিক ড্রাইভিং লাইসেন্স,வணிக ஓட்டுநர் உரிமம்,ਵਪਾਰਕ ਡਰਾਈਵਿੰਗ ਲਾਇਸੈਂਸ,ใบอนุญาตขับขี่เชิงพาณิชย์,Komercijalna vozačka dozvola,Առևտրային վարորդական իրավունք,Επαγγελματική άδεια οδήγησης,Kev tsav tsheb lag luam,רישיון נהיגה מסחרי,បណ្ណបើកបរអាជីវកម្ម,CDL,CDL,CDL,CDL,CDL,CDL,CDL,CDL,CDL
select_test_type,Select Test Type,Seleccionar tipo de prueba,选择测试类型,Piliin ang Uri ng Pagsusulit,Chọn loại bài kiểm tra,اختر نوع الاختبار,Sélectionner le type de test,테스트 유형 선택,Выберите тип теста,Selecionar tipo de teste,Chwazi tip tès,परीक्षा प्रकार चुनें,Testtyp auswählen,Wybierz typ testu,Seleziona tipo di test,ٹیسٹ کی قسم منتخب کریں,نوع آزمون را انتخاب کنید,పరీక్ష రకం ఎంచుకోండి,テストタイプを選択,પરીક્ષણ પ્રકાર પસંદ કરો,পরীক্ষার ধরন নির্বাচন করুন,சோதனை வகையைத் தேர்ந்தெடுக்கவும்,ਟੈਸਟ ਕਿਸਮ ਚੁਣੋ,เลือกประเภทการทดสอบ,Odaberite vrstu testa,Ընտրեք թեստի տեսակը,Επιλέξτε τύπο δοκιμής,Xaiv hom kev xeem,בחר סוג מבחן,ជ្រើសរើសប្រភេទតេស្ត,Test type,Uri ti Suʻega,ʻAno hoʻāʻo,Testtyp,טעסט טיפּ,Kies testtype,Nooca tijaabo,የፈተና አይነት ምረጥ,Aina ya mtihani
back,← Back,← Atrás,← 返回,← Bumalik,← Quay lại,← رجوع,← Retour,← 뒤로,← Назад,← Voltar,← Retou,← वापस,← Zurück,← Wstecz,← Indietro,← واپس,← برگشت,← వెనక్కి,← 戻る,← પાછા,← ফিরে যান,← பின்செல்,← ਵਾਪਸ,← กลับ,← Nazad,← Վերադառնալ,← Πίσω,← Rov qab,← חזרה,← ត្រឡប់,← Tʼáá shoodí,← Agsaruno,← Toe,← Hoʻi,← Zrugg,← צוריק,← Terug,← Dib u noqo,← ወደ ኋላ,← Nyuma
select_cdl_category,Select CDL Category,Seleccionar categoría de CDL,选择CDL类别,Piliin ang Kategorya ng CDL,Chọn danh mục CDL,اختر فئة CDL,Sélectionner la catégorie du CDL,CDL 카테고리 선택,Выберите категорию CDL,Selecionar categoria CDL,Chwazi kategori CDL,CDL श्रेणी चुनें,CDL-Kategorie auswählen,Wybierz kategorię CDL,Seleziona categoria CDL,CDL زمرہ منتخب کریں,دسته CDL را انتخاب کنید,CDL వర్గం ఎంచుకోండి,CDLのカテゴリを選択,CDL શ્રેણી પસંદ કરો,CDL বিভাগ নির্বাচন করুন,CDL வகையைத் தேர்ந்தெடுக்கவும்,CDL ਸ਼੍ਰੇਣੀ ਚੁਣੋ,เลือกหมวดหมู่ CDL,Odaberite CDL kategoriju,Ընտրեք CDL կարգը,Επιλέξτε κατηγορία CDL,Xaiv pawg CDL,בחר קטגוריית CDL,ជ្រើសរើសប្រភេទ CDL,CDL category,CDL a panag-suʻega,Filifili vaega CDL,Koho i ka māhele CDL,CDL Kategorie,CDL קאַטעגאָריע,Kies CDL-categorie,Dooro qaybta CDL,CDL መደብ ምረጥ,Chagua kundi la CDL
enter_zip_code,Enter ZIP code,Ingrese código postal,输入邮政编码,Ilagay ang ZIP code,Nhập mã ZIP,أدخل الرمز البريدي,Entrez le code postal,우편번호 입력,Введите почтовый индекс,Insira o CEP,Antre kòd postal,ZIP कोड दर्ज करें,Postleitzahl eingeben,Wpisz kod pocztowy,Inserisci CAP,ZIP کوڈ درج کریں,کد پستی را وارد کنید,ZIP కోడ్ నమోదు చేయండి,郵便番号を入力,ZIP કોડ દાખલ કરો,ZIP কোড লিখুন,ZIP குறியீட்டை உள்ளிடவும்,ZIP ਕੋਡ ਦਰਜ ਕਰੋ,กรอกรหัสไปรษณีย์,Unesite poštanski broj,Մուտքագրեք փոստային ծածկագիրը,Εισαγάγετε ταχυδρομικό κώδικα,Sau ZIP,הזן מיקוד,បញ្ចូលលេខប្រៃសណីយ៍,ZIP code,Ibilog ti ZIP,Ulufale ZIP code,E hoʻokomo i ke helu pōsta,Postkoda eińgäh,ZIP קאָד,Voer postcode in,Geli ZIP,የፖስታ ኮድ አስገባ,Ingiza nambari ya posta
search,Search,Buscar,搜索,Maghanap,Tìm kiếm,بحث,Rechercher,검색,Поиск,Pesquisar,Chèche,खोज,Suche,Szukaj,Cerca,تلاش,جستجو,వెతకండి,検索,શોધો,অনুসন্ধান,தேடல்,ਖੋਜ,ค้นหา,Pretraga,Որոնել,Αναζήτηση,Nrhiav,חיפוש,ស្វែងរក,Search,Agsap,Suʻe,Huli,Huche,זוך,Zoeken,Raadi,ፈልግ,Tafuta
